Order #,Supplier,Date Added,Invoice Number,Metal Type,Qty,Weight,Price
52872,,17/07/2024,0,14KT,1,3.92 g.,
52947,,17/07/2024,0,14KT,1,4.36 g.,
52963,,17/07/2024,0,14KT,1,7.13 g.,
52967,,17/07/2024,0,14KT,1,4.67 g.,
52784,,17/07/2024,0,14KT,1,2.69 g.,
52968,,17/07/2024,0,14KT,1,7.99 g.,
52969,,17/07/2024,0,14KT,1,6.06 g.,
52971,,17/07/2024,0,14KT,1,2.57 g.,
52972,,17/07/2024,0,14KT,1,6.3 g.,
52973,,17/07/2024,0,14KT,1,2.61 g.,
52974,,17/07/2024,0,14KT,1,3.19 g.,
52975,,17/07/2024,0,14KT,1,3.64 g.,
52977,,17/07/2024,0,14KT,1,4.19 g.,
52979,,17/07/2024,0,14KT,1,2.42 g.,
52980,,17/07/2024,0,14KT,1,2.54 g.,
52970,,17/07/2024,0,18KT,1,3.61 g.,
52966,,17/07/2024,0,18KT,1,4.49 g.,
52985,,17/07/2024,0,14KT,1,2.89 g.,
52983,,17/07/2024,0,14KT,1,5.45 g.,
52987,,17/07/2024,0,18KT,1,4.48 g.,
52991,,17/07/2024,0,18KT,1,3.93 g.,
52984,,17/07/2024,0,18KT,1,3.53 g.,
52993,,17/07/2024,0,14KT,1,7.8 g.,
53000,,17/07/2024,0,14KT,1,4.4 g.,
52992,,17/07/2024,0,14KT,1,2.85 g.,
52990,,17/07/2024,0,14KT,1,3.9 g.,
52994,,17/07/2024,0,14KT,1,4.26 g.,
52948,,17/07/2024,0,14KT,1,2.02 g.,
52997,,17/07/2024,0,14KT,1,3.86 g.,
52989,,17/07/2024,0,14KT,1,4.44 g.,
52988,,17/07/2024,0,14KT,1,5.09 g.,
53001,,17/07/2024,0,18KT,3,2.65 g.,
52995,,17/07/2024,0,14KT,1,5.38 g.,
52996,,17/07/2024,0,14KT,1,2.49 g.,
53002,,17/07/2024,0,14KT,1,3.07 g.,
53003,,17/07/2024,0,14KT,1,3.13 g.,
53015,,17/07/2024,0,14KT,1,3.9 g.,
53018,,17/07/2024,0,14KT,1,3.5 g.,
53036,,17/07/2024,0,14KT,1,11.09 g.,
53026,,17/07/2024,0,14KT,1,2.93 g.,
53021,,17/07/2024,0,14KT,1,3.31 g.,
53024,,17/07/2024,0,14KT,1,3.82 g.,
53022,,17/07/2024,0,14KT,1,2.9 g.,
53017,,17/07/2024,0,14KT,1,3.84 g.,
